RIC,Date,Close,Exp,CRIC
SCFQ0,2000-03-20,18880.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-21,18730.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-22,18910.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-23,18770.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-24,18780.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-27,18650.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-28,18590.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-29,18660.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-30,18700.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-31,18690.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-03,18620.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-04,18600.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-05,18280.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-06,18250.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-07,17790.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-10,17900.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-11,17980.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-12,17990.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-13,17870.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-14,17750.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-17,17530.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-18,17660.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-19,17850.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-20,17730.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-21,17780.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-24,17810.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-25,17800.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-26,18110.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-27,18050.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-04-28,18130.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-08,18540.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-09,18440.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-10,18480.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-11,18290.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-12,18350.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-15,18540.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-16,18480.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-17,18550.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-18,18413.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-19,18390.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-22,18380.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-23,18260.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-24,18360.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-25,18340.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-26,18210.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-29,18230.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-30,18160.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-05-31,17970.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-01,18040.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-02,18000.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-05,17850.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-06,17950.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-07,17917.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-08,17820.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-09,17900.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-12,17870.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-13,17850.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-14,17940.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-15,18070.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-16,18150.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-19,18160.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-20,18160.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-21,18035.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-22,18100.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-23,18000.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-26,17950.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-27,18090.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-28,17990.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-29,18030.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-06-30,17980.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-03,17950.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-04,17970.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-05,18020.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-06,18050.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-07,17930.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-10,17930.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-11,17980.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-12,17970.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-13,18010.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-14,17978.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-17,17960.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-18,18210.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-19,18230.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-20,18200.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-21,18270.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-24,18450.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-25,18430.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-26,18470.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-27,18400.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-28,18550.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-07-31,18430.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-01,18420.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-02,18450.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-03,18360.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-04,18360.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-07,18380.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-08,18360.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-09,18330.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-10,18400.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-11,18390.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-14,18410.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-08-15,18460.0,2000-08-15 00:00:00,2000Q
SCFQ0,2009-08-18,48290.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-19,47070.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-20,47710.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-21,47320.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-24,49680.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-25,49760.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-26,50110.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-27,49970.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-28,50840.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-08-31,49940.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-01,49540.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-02,47830.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-03,48330.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-04,49600.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-07,49570.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-08,49730.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-09,50500.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-10,50310.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-11,49780.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-14,47650.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-15,48320.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-16,48950.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-17,49810.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-18,49220.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-21,48370.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-22,48760.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-23,48640.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-24,48030.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-25,47160.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-28,46610.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-29,46330.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-09-30,47440.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-09,49430.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-12,49130.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-13,48870.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-14,49110.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-15,48960.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-16,48910.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-19,49390.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-20,50140.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-21,49970.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-22,50870.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-23,51260.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-26,51690.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-27,51270.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-28,51630.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-29,50290.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-10-30,51380.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-02,50590.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-03,50920.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-04,51440.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-05,51010.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-06,51450.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-09,51550.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-10,51510.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-11,51440.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-12,51720.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-13,51630.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-16,52920.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-17,53970.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-18,54270.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-19,54420.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-20,54780.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-23,55720.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-24,55540.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-25,55790.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-26,56420.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-27,55170.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-11-30,55660.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-01,55750.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-02,56440.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-03,56640.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-04,56440.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-07,56600.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-08,56520.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-09,55490.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-10,54350.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-11,54370.0,2010-08-16 00:00:00,2010Q
SCFQ0,2009-12-14,54810.0,2010-08-16 00:00:00,2010Q
